錒	锕
鱠	鲙
寬	宽
臗	𣎑
髖	髋
誆	诓
誑	诳
鵟	𫛭
儣	𠆲
況	况
貺	贶
鄺	邝
壙	圹
曠	旷
礦	矿
纊	纩
窺	窥
虧	亏
巋	岿
騤	骙
頍	𫠆
嘳	𪡞
嬇	𫝬
憒	愦
潰	溃
蕢	蒉
謉	𫍷
簣	篑
聵	聩
饋	馈
昆	昆
崑	昆
褌	裈
瑻	𪻲
錕	锟
騉	𫘥
鯤	鲲
鵾	鹍
壼	壸
閫	阃
困	困
睏	困
擴	扩
闊	阔
鬠	𫘽
腊	腊
蜡	蜡
攋	𪮶
臘	腊
鯻	𬶟
蠟	蜡
鑞	镴
來	来
倈	俫
婡	𫝫
崍	崃
徠	徕
淶	涞
萊	莱
棶	梾
錸	铼
麳	𪎌
睞	睐
賚	赉
賴	赖
顂	𩓋
瀨	濑
癩	癞
襰	𧝝
籟	籁
嵐	岚
藍	蓝
闌	阑
璼	𫞨
襤	褴
攔	拦
瀾	澜
籃	篮
繿	䍀
蘭	兰
斕	斓
欄	栏
襴	襕
囒	𪢠
灡	㳕
讕	谰
躝	𨅬
壈	𡒄
懶	懒
孄	𫝮
覽	览
攬	揽
欖	榄
纜	缆
濫	滥
爛	烂
鑭	镧
鋃	锒
鎯	𨱍
閬	阆
撈	捞
勞	劳
嘮	唠
嶗	崂
朥	𦛨
癆	痨
鐒	铹
銠	铑
澇	涝
橯	𣓿
耮	耢
樂	乐
鰳	鳓
了	了
餎	饹
縲	缧
鐳	镭
轠	𫐙
虆	蔂
誄	诔
壘	垒
淚	泪
類	类
纇	颣
厘	厘
漓	漓
縭	缡
離	离
鯬	𫚞
灕	漓
蘺	蓠
孋	㛤
籬	篱
纚	𫄥
驪	骊
鱺	鲡
鸝	鹂
里	里
裏	里
鋰	锂
禮	礼
鯉	鲤
邐	逦
鱧	鳢
栗	栗
慄	栗
蒞	莅
鉝	𫟷
厲	厉
綟	𫄫
勵	励
曆	历
歷	历
