伦	倫
囵	圇
沦	淪
纶	綸
轮	輪
𬬭	錀
𫭢	埨
论	論
啰	囉
罗	羅
猡	玀
脶	腡
萝	蘿
逻	邏
椤	欏
锣	鑼
箩	籮
骡	騾
镙	鏍
泺	濼
络	絡
荦	犖
骆	駱
妈	媽
马	馬
犸	獁
玛	瑪
码	碼
蚂	螞
杩	榪
祃	禡
骂	罵 駡
吗	嗎
买	買
荬	蕒
劢	勱
迈	邁
麦	麥
卖	賣
脉	脈
唛	嘜
鿏	䥑
霡	霢
颟	顢
蛮	蠻
馒	饅
瞒	瞞
鳗	鰻
满	滿
螨	蟎
𬜬	蔄
谩	謾
缦	縵
镘	鏝
铓	鋩
猫	貓
牦	氂 犛
锚	錨
铆	鉚
贸	貿
么	麼 麽
没	沒
镅	鎇
鹛	鶥
霉	黴
镁	鎂
门	門
扪	捫
钔	鍆
𫞩	璊
闷	悶
焖	燜
懑	懣
们	們
𫑡	鄳
蒙	懞 濛 矇
鹲	鸏
锰	錳
梦	夢
弥	彌 瀰
祢	禰
猕	獼
谜	謎
芈	羋
觅	覓
秘	祕
幂	冪
谧	謐
绵	綿
渑	澠
缅	緬
腼	靦
𩾃	鮸
面	麪 麫 麵
麺	麪 麵
鹋	鶓
缈	緲
庙	廟
灭	滅
蔑	衊
缗	緡
闵	閔
黾	黽
闽	閩
悯	憫
鳘	鰵
鸣	鳴
铭	銘
谬	謬
谟	謨
馍	饃
麽	麼 麽
嬷	嬤
殁	歿
蓦	驀
镆	鏌
𬙊	纆
谋	謀
缪	繆
亩	畝
𬭁	鉧
钼	鉬
镎	錼 鎿
呐	吶
纳	納
钠	鈉
难	難
馕	饢
挠	撓
铙	鐃
蛲	蟯
垴	堖
恼	惱
脑	腦
闹	鬧
讷	訥
馁	餒
内	內
铌	鈮
𫐐	輗
鲵	鯢
𫠜	齯
拟	擬
腻	膩
鲇	鮎
鲶	鯰
辇	輦
撵	攆
念	唸
娘	孃
酿	釀
鸟	鳥
茑	蔦
袅	嫋 裊
陧	隉
聂	聶
啮	嚙 齧
嗫	囁
𫔶	闑
镊	鑷
镍	鎳
颞	顳
蹑	躡
蘖	櫱
宁	寧 甯
咛	嚀
拧	擰
狞	獰
苧	薴
柠	檸
聍	聹
泞	濘
纽	紐
钮	鈕
农	農
侬	儂
哝	噥
浓	濃
脓	膿
秾	穠
𬪩	醲
驽	駑
钕	釹
疟	瘧
傩	儺
诺	諾
锘	鍩
讴	謳
𫭟	塸
欧	歐
殴	毆
瓯	甌
鸥	鷗
呕	嘔
𬉼	熰
怄	慪
沤	漚
盘	盤
蹒	蹣
厐	龎
彷	彷
庞	龐
鳑	鰟
抛	拋
疱	皰
